location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR(10yr)
ngc104,4.1,0.011020274,0.28034861,13.537008,15.995417,94.83129375447143
ngc5139,4.9,0.06332022,0.89694077,23.317542,18.594739,107.60218625709314
ngc6341,8,0.007504913,0.16706345,9.9200826,11.304925,54.10611420146318
ngc362,8,0.007504913,0.16706345,9.9200826,11.304925,54.10611420146318
ngc5286,11.3,0.007504913,0.16706345,9.9200826,11.304925,38.305213593956225
ngc6356,13.8,0.007504913,0.16706345,9.9200826,11.304925,31.365863305196047
ngc6864,17.7,0.007504913,0.16706345,9.9200826,11.304925,24.45474088201726
ngc104,4.1,0.048107155,0.71335537,17.517704,13.73877,6.572312582771592
ngc6266,6.6,0.048107155,0.71335537,17.517704,13.73877,4.082800240812652
ngc6522,6.8,0.079168342,0.92679063,9.4306942,7.2883948,6.187108226788223
ngc7078,10,0.24005661,0.96679136,16.483984,17.587474,5.76647204737129
ngc2419,90.4,0.06332022,0.89694077,23.317542,18.594739,5.8324193878291695
ngc104,4.1,0.29169745,0.96062885,16.21441,17.826802,4.186859947503672
ngc6441,9.2,0.17671178,0.93654151,20.260001,17.613668,3.9538097778451364
ngc6325,9,0.079168342,0.92679063,9.4306942,7.2883948,4.67470399357333
ngc5139,4.9,0.1011963,0.8378624,19.087006,16.587566,2.7023850799288485
ngc6453,10.5,0.079168342,0.92679063,9.4306942,7.2883948,4.0068891373485735
ngc6539,7.5,0.15267674,0.93311254,14.400859,13.273647,2.8785467828455915
ngc6266,6.6,0.29169745,0.96062885,16.21441,17.826802,2.6009281492068266
ngc6402,8.4,0.15267674,0.93311254,14.400859,13.273647,2.5701310561121327
ngc6266,6.6,0.14960059,0.91747137,13.537008,15.995417,2.2289620000439463
ngc6266,6.6,0.14960059,0.91747137,13.537008,15.995417,2.2289620000439463
ngc6626,5.5,0.9797678,0.9948976,8.9802543,10.655065,3.1412333004823
