f,ASD
1.000000000000000082e-05,2.603960436846163815e-15
1.003846299559430312e-05,2.579549534911906683e-15
1.007707393139163503e-05,2.555369130082886115e-15
1.011583337641429370e-05,2.531417036285479378e-15
1.015474190187328737e-05,2.507691088236699185e-15
1.019380008117659060e-05,2.484189141246232597e-15
1.023300848993776192e-05,2.460909071020155866e-15
1.027236770598425669e-05,2.437848773466733841e-15
1.031187830936611082e-05,2.415006164503865330e-15
1.035154088236432473e-05,2.392379179868556234e-15
1.039135600949960812e-05,2.369965774928031927e-15
1.043132427754082996e-05,2.347763924492821795e-15
1.047144627551383101e-05,2.325771622631458570e-15
1.051172259470993822e-05,2.303986882487109976e-15
1.055215382869482469e-05,2.282407736095803882e-15
1.059274057331719514e-05,2.261032234206488733e-15
1.063348342671750524e-05,2.239858446102819616e-15
1.067438298933691990e-05,2.218884459426520863e-15
1.071543986392599697e-05,2.198108380002612344e-15
1.075665465555373870e-05,2.177528331666114079e-15
1.079802797161633985e-05,2.157142456090584163e-15
1.083956042184630518e-05,2.136948912618120820e-15
1.088125261832127216e-05,2.116945878091149256e-15
1.092310517547319274e-05,2.097131546685654093e-15
1.096511871009722557e-05,2.077504129746154402e-15
1.100729384136097373e-05,2.058061855622113676e-15
1.104963119081354286e-05,2.038802969505999302e-15
1.109213138239463665e-05,2.019725733272891761e-15
1.113479504244390637e-05,2.000828425321523633e-15
1.117762279971000561e-05,1.982109340416981124e-15
1.122061528536003141e-05,1.963566789534745873e-15
1.126377313298864838e-05,1.945199099706388238e-15
1.130709697862760945e-05,1.927004613866564565e-15
1.135058746075493934e-05,1.908981690701640303e-15
1.139424522030453993e-05,1.891128704499592654e-15
1.143807090067543817e-05,1.873444045001504742e-15
1.148206514774146260e-05,1.855926117254316839e-15
1.152622860986057085e-05,1.838573341465139137e-15
1.157056193788457018e-05,1.821384152856809349e-15
1.161506578516863987e-05,1.804357001524919549e-15
1.165974080758088741e-05,1.787490352296209734e-15
1.170458766351218257e-05,1.770782684588217035e-15
1.174960701388566278e-05,1.754232492270401890e-15
1.179479952216667394e-05,1.737838283526450000e-15
1.184016585437235204e-05,1.721598580718035464e-15
1.188570667908163000e-05,1.705511920249734655e-15
1.193142266744490064e-05,1.689576852435375044e-15
1.197731449319409467e-05,1.673791941365517609e-15
1.202338283265242493e-05,1.658155764776333362e-15
1.206962836474451867e-05,1.642666913919611101e-15
1.211605177100634808e-05,1.627323993434088675e-15
1.216265373559520330e-05,1.612125621218001462e-15
1.220943494529995170e-05,1.597070428302773510e-15
1.225639608955095150e-05,1.582157058728030611e-15
1.230353786043042120e-05,1.567384169417676171e-15
1.235086095268242777e-05,1.552750430057277769e-15
1.239836606372334071e-05,1.538254522972493439e-15
1.244605389365189485e-05,1.523895143008784971e-15
1.249392514525972061e-05,1.509670997412152404e-15
1.254198052404148812e-05,1.495580805711129895e-15
1.259022073820551710e-05,1.481623299599782267e-15
1.263864649868400738e-05,1.467797222821936911e-15
1.268725851914369113e-05,1.454101331056415170e-15
1.273605751599627852e-05,1.440534391803420397e-15
1.278504420840893379e-05,1.427095184272017005e-15
1.283421931831505969e-05,1.413782499268606441e-15
1.288358357042472783e-05,1.400595139086574613e-15
1.293313769223556138e-05,1.387531917396879054e-15
1.298288241404325859e-05,1.374591659139788415e-15
1.303281846895255509e-05,1.361773200417544919e-15
1.308294659288782368e-05,1.349075388388160019e-15
1.313326752460412469e-05,1.336497081160112906e-15
1.318378200569788880e-05,1.324037147688159927e-15
1.323449078061803007e-05,1.311694467670039565e-15
1.328539459667683373e-05,1.299467931444224427e-15
1.333649420406088967e-05,1.287356439888652212e-15
1.338779035584234104e-05,1.275358904320352628e-15
1.343928380798976185e-05,1.263474246396130195e-15
1.349097531937951907e-05,1.251701398014092321e-15
1.354286565180673492e-05,1.240039301216213933e-15
1.359495556999673029e-05,1.228486908091735545e-15
1.364724584161608361e-05,1.217043180681575202e-15
1.369973723728415559e-05,1.205707090883558484e-15
1.375243053058423275e-05,1.194477620358646805e-15
1.380532649807511485e-05,1.183353760437968183e-15
1.385842591930248039e-05,1.172334512030797994e-15
1.391172957681029106e-05,1.161418885533409256e-15
1.396523825615251972e-05,1.150605900738743313e-15
1.401895274590449730e-05,1.139894586747017507e-15
1.407287383767477296e-05,1.129283981877101382e-15
1.412700232611654049e-05,1.118773133578825133e-15
1.418133900893958158e-05,1.108361098346032148e-15
1.423588468692179724e-05,1.098046941630553722e-15
1.429064016392123570e-05,1.087829737756910713e-15
1.434560624688770188e-05,1.077708569837920613e-15
1.440078374587489700e-05,1.067682529691015573e-15
1.445617347405210596e-05,1.057750717755451452e-15
1.451177624771640145e-05,1.047912243010218759e-15
1.456759288630457346e-05,1.038166222892796678e-15
1.462362421240512676e-05,1.028511783218672694e-15
1.467987105177060513e-05,1.018948058101582443e-15
1.473633423332952444e-05,1.009474189874589307e-15
1.479301458919882738e-05,1.000089329011826059e-15
1.484991295469590796e-05,9.907926340510730955e-16
1.490703016835116453e-05,9.815832715169849148e-16
1.496436707192010724e-05,9.724604158451366183e-16
1.502192451039601785e-05,9.634232493067078093e-16
1.507970333202214867e-05,9.544709619339683692e-16
1.513770438830447718e-05,9.456027514463901962e-16
1.519592853402399816e-05,9.368178231775489862e-16
1.525437662724954949e-05,9.281153900026411300e-16
1.531304952935035502e-05,9.194946722667460823e-16
1.537194810500862836e-05,9.109548977137693217e-16
1.543107322223253935e-05,9.024953014160146238e-16
1.549042575236875006e-05,8.941151257044998361e-16
1.555000657011550660e-05,8.858136200998615373e-16
1.560981655353528018e-05,8.775900412439904774e-16
1.566985658406796396e-05,8.694436528322471275e-16
1.573012754654359879e-05,8.613737255463943023e-16
1.579063032919568522e-05,8.533795369880977645e-16
1.585136582367399743e-05,8.454603716131315762e-16
1.591233492505796294e-05,8.376155206661435423e-16
1.597353853186975434e-05,8.298442821160881288e-16
1.603497754608742510e-05,8.221459605922700581e-16
1.609665287315845193e-05,8.145198673209589402e-16
1.615856542201278247e-05,8.069653200626707888e-16
1.622071610507653012e-05,7.994816430499761986e-16
1.628310583828513014e-05,7.920681669259735343e-16
1.634573554109711583e-05,7.847242286832757654e-16
1.640860613650739998e-05,7.774491716036507740e-16
1.647171855106114926e-05,7.702423451981651534e-16
1.653507371486715382e-05,7.631031051479695470e-16
1.659867256161183042e-05,7.560308132455777167e-16
1.666251602857268685e-05,7.490248373367726562e-16
1.672660505663238611e-05,7.420845512630066297e-16
1.679094059029250896e-05,7.352093348043876314e-16
1.685552357768737073e-05,7.283985736232088751e-16
1.692035497059823115e-05,7.216516592079804946e-16
1.698543572446705019e-05,7.149679888180479572e-16
1.705076679841083335e-05,7.083469654286819223e-16
1.711634915523550950e-05,7.017879976767457415e-16
1.718218376145038125e-05,6.952904998068263174e-16
1.724827158728210098e-05,6.888538916179330397e-16
1.731461360668923305e-05,6.824775984106503174e-16
1.738121079737634840e-05,6.761610509348456649e-16
1.744806414080866131e-05,6.699036853378288212e-16
1.751517462222640183e-05,6.637049431130343748e-16
1.758254323065921537e-05,6.575642710491968370e-16
1.765017095894099930e-05,6.514811211799734908e-16
1.771805880372424492e-05,6.454549507340993274e-16
1.778620776549500623e-05,6.394852220859625440e-16
1.785461884858736387e-05,6.335714027067037462e-16
1.792329306119851923e-05,6.277129651157283171e-16
1.799223141540334651e-05,6.219093868327338131e-16
1.806143492716961893e-05,6.161601503301411585e-16
1.813090461637266923e-05,6.104647429860312038e-16
1.820064150681073448e-05,6.048226570374781797e-16
1.827064662621972837e-05,5.992333895343785560e-16
1.834092100628866395e-05,5.936964422936719640e-16
1.841146568267473422e-05,5.882113218540309980e-16
1.848228169501847404e-05,5.827775394309788762e-16
1.855337008695932856e-05,5.773946108724098135e-16
1.862473190615074737e-05,5.720620566145716684e-16
1.869636820427591898e-05,5.667794016384260587e-16
1.876828003706297336e-05,5.615461754264665101e-16
1.884046846430083161e-05,5.563619119199052987e-16
1.891293454985453393e-05,5.512261494763104367e-16
1.898567936168121117e-05,5.461384308276043515e-16
1.905870397184553143e-05,5.410983030385030450e-16
1.913200945653575295e-05,5.361053174653140852e-16
1.920559689607948233e-05,5.311590297151515114e-16
1.927946737495946666e-05,5.262589996055397469e-16
1.935362198182986665e-05,5.214047911243747659e-16
1.942806180953195725e-05,5.165959723903096685e-16
1.950278795511058724e-05,5.118321156134698020e-16
1.957780151982999159e-05,5.071127970565891341e-16
1.965310360919036620e-05,5.024375969964720310e-16
1.972869533294383283e-05,4.978060996858642569e-16
1.980457780511110863e-05,4.932178933156459283e-16
1.988075214399761341e-05,4.886725699774256028e-16
1.995721947221021369e-05,4.841697256264522798e-16
2.003398091667366878e-05,4.797089600449058567e-16
2.011103760864710720e-05,4.752898768055362620e-16
2.018839068374097414e-05,4.709120832356257253e-16
2.026604128193345376e-05,4.665751903813298976e-16
2.034399054758759276e-05,4.622788129723198239e-16
2.042223962946783448e-05,4.580225693867979340e-16
2.050078968075727808e-05,4.538060816168131105e-16
2.057964185907434809e-05,4.496289752339372522e-16
2.065879732649017895e-05,4.454908793552377589e-16
2.073825724954542015e-05,4.413914266096060885e-16
2.081802279926773928e-05,4.373302531043740508e-16
2.089809515118877290e-05,4.333069983922803556e-16
2.097847548536176850e-05,4.293213054387199678e-16
2.105916498637863362e-05,4.253728205893379972e-16
2.114016484338771334e-05,4.214611935378987034e-16
2.122147625011116127e-05,4.175860772944853787e-16
2.130310040486242565e-05,4.137471281539989632e-16
2.138503851056418954e-05,4.099440056649387753e-16
2.146729177476577229e-05,4.061763725985094864e-16
2.154986140966125936e-05,4.024438949179905888e-16
2.163274863210702580e-05,3.987462417484287046e-16
2.171595466364000844e-05,3.950830853465891342e-16
2.179948073049537495e-05,3.914541010712202379e-16
2.188332806362493501e-05,3.878589673535747390e-16
2.196749789871492456e-05,3.842973656682396689e-16
2.205199147620453553e-05,3.807689805042158391e-16
2.213681004130406944e-05,3.772734993362913113e-16
2.222195484401312827e-05,3.738106125966892929e-16
2.230742713913938134e-05,3.703800136469637838e-16
2.239322818631667823e-05,3.669813987501933636e-16
2.247935925002397491e-05,3.636144670434102566e-16
2.256582159960361951e-05,3.602789205103180700e-16
2.265261650928040372e-05,3.569744639542444655e-16
2.273974525817999091e-05,3.537008049713765879e-16
2.282720913034813354e-05,3.504576539242241292e-16
2.291500941476921649e-05,3.472447239153635726e-16
2.300314740538558290e-05,3.440617307614053881e-16
2.309162440111647382e-05,3.409083929672266802e-16
2.318044170587701876e-05,3.377844317004486775e-16
2.326960062859778175e-05,3.346895707661412672e-16
2.335910248324367730e-05,3.316235365817918468e-16
2.344894858883371307e-05,3.285860581524872671e-16
2.353914026946004809e-05,3.255768670463571835e-16
2.362967885430788785e-05,3.225956973702260126e-16
2.372056567767469166e-05,3.196422857455218594e-16
